,NO.,CLUSTERED,ACTUAL,RECEPTION DATETIME
37,138,29050038,281,09-May-2022 19:09:08
38,139,55270025,512,09-May-2022 19:09:08
39,140,62020010,370,09-May-2022 19:09:08
40,141,13140033,514,09-May-2022 19:09:09
41,142,44090018,163,09-May-2022 19:09:09
42,143,69070021,652,09-May-2022 19:09:09
43,144,37280012,159,09-May-2022 19:09:09
44,145,31240020,417,09-May-2022 19:09:10
45,146,8030070,610,09-May-2022 19:09:10
46,147,17340068,376,09-May-2022 19:09:10
47,148,56440006,461,09-May-2022 19:09:10
48,149,72030034,463,09-May-2022 19:09:10
49,150,29230014,430,09-May-2022 19:09:10
0,151,30430055,459,09-May-2022 19:09:10
1,152,28040020,390,09-May-2022 19:09:10
2,153,33090029,343,09-May-2022 19:09:11
3,154,37020017,164,09-May-2022 19:09:11
4,155,37480046,269,09-May-2022 19:09:11
5,156,74040926,720,09-May-2022 19:09:11
6,157,14200046,542,09-May-2022 19:09:11
7,158,15280048,540,09-May-2022 19:09:11
8,159,42120012,473,09-May-2022 19:09:12
9,160,56460058,322,09-May-2022 19:09:12
10,161,37480071,493,09-May-2022 19:09:12
11,162,55260005,640,09-May-2022 19:09:13
12,163,15240004,332,09-May-2022 19:09:13
13,164,31330005,423,09-May-2022 19:09:13
14,165,30220332,451,09-May-2022 19:09:14
15,166,29250018,475,09-May-2022 19:09:14
16,167,1230002,402,09-May-2022 19:09:14
17,168,33130029,465,09-May-2022 19:09:14
18,169,37310018,564,09-May-2022 19:09:15
19,170,45310068,289,09-May-2022 19:09:15
20,171,29070007,603,09-May-2022 19:09:15
21,172,30260001,551,09-May-2022 19:09:15
22,173,19060044,449,09-May-2022 19:09:16
23,174,73060031,359,09-May-2022 19:09:16
24,175,22060006,709,09-May-2022 19:09:16
25,176,2020297,546,09-May-2022 19:09:16
26,177,55040009,540,09-May-2022 19:09:17
27,178,46150043,508,09-May-2022 19:09:17
28,179,26040058,425,09-May-2022 19:09:17
29,180,30470034,373,09-May-2022 19:09:17
30,181,29300041,338,09-May-2022 19:09:17
31,182,49020015,497,09-May-2022 19:09:17
32,183,55210010,614,09-May-2022 19:09:17
33,184,69160163,487,09-May-2022 19:09:17
34,185,55470034,587,09-May-2022 19:09:17
35,186,19040023,359,09-May-2022 19:09:17
36,187,11020113,416,09-May-2022 19:09:18
37,188,65020035,435,09-May-2022 19:09:18
38,189,45280076,580,09-May-2022 19:09:18
39,190,47100083,537,09-May-2022 19:09:18
40,191,49060020,636,09-May-2022 19:09:18
41,192,53160052,367,09-May-2022 19:09:18
42,193,38040175,328,09-May-2022 19:09:18
43,194,12040022,381,09-May-2022 19:09:18
44,195,55310060,456,09-May-2022 19:09:18
45,196,30250005,217,09-May-2022 19:09:18
46,197,54070083,533,09-May-2022 19:09:18
47,198,29130011,259,09-May-2022 19:09:19
48,199,31110012,113,09-May-2022 19:09:19
49,200,50020035,443,09-May-2022 19:09:19
0,201,13160006,621,09-May-2022 19:09:19
1,202,4130002,527,09-May-2022 19:09:19
2,203,44040026,489,09-May-2022 19:09:19
3,204,30160042,655,09-May-2022 19:09:20
4,205,36170031,549,09-May-2022 19:09:20
5,206,55300023,587,09-May-2022 19:09:20
6,207,30230044,386,09-May-2022 19:09:20
7,208,30450036,345,09-May-2022 19:09:20
8,209,50030037,331,09-May-2022 19:09:20
9,210,33060041,530,09-May-2022 19:09:21
10,211,45080008,497,09-May-2022 19:09:21
11,212,37010004,627,09-May-2022 19:09:21
12,213,42120022,328,09-May-2022 19:09:22
13,214,55080053,472,09-May-2022 19:09:22
14,215,12200006,192,09-May-2022 19:09:22
15,216,33160028,389,09-May-2022 19:09:22
16,217,53170013,502,09-May-2022 19:09:23
17,218,11080017,189,09-May-2022 19:09:23
18,219,30190042,463,09-May-2022 19:09:23
19,220,55320016,350,09-May-2022 19:09:23
20,221,64150003,476,09-May-2022 19:09:24
21,222,12090017,614,09-May-2022 19:09:24
22,223,22410056,578,09-May-2022 19:09:24
23,224,12090010,352,09-May-2022 19:09:25
24,225,55210023,420,09-May-2022 19:09:25
25,226,45310014,493,09-May-2022 19:09:26
26,227,26050016,185,09-May-2022 19:09:26
27,228,56470021,528,09-May-2022 19:09:26
28,229,55060034,462,09-May-2022 19:09:28
29,230,47020092,643,09-May-2022 19:09:28
30,231,69160003,533,09-May-2022 19:09:29
31,232,24021061,622,09-May-2022 19:09:29
32,233,37380010,299,09-May-2022 19:09:30
33,234,56220045,471,09-May-2022 19:09:30
34,235,30020049,112,09-May-2022 19:09:30
35,236,6150009,413,09-May-2022 19:09:30
36,237,66070013,569,09-May-2022 19:09:31
37,238,36250029,349,09-May-2022 19:09:31
38,239,69060029,433,09-May-2022 19:09:31
39,240,69170058,554,09-May-2022 19:09:31
40,241,49260141,529,09-May-2022 19:09:32
41,242,42030037,266,09-May-2022 19:09:32
42,243,19040002,452,09-May-2022 19:09:32
43,244,31140051,388,09-May-2022 19:09:32
44,245,31330017,345,09-May-2022 19:09:32
45,246,22050035,510,09-May-2022 19:09:33
46,247,29130005,488,09-May-2022 19:09:33
47,248,11020162,495,09-May-2022 19:09:33
48,249,26170021,174,09-May-2022 19:09:34
49,250,55150059,510,09-May-2022 19:09:34
0,251,33010068,615,09-May-2022 19:09:34
1,252,55440022,358,09-May-2022 19:09:35
2,253,55170040,629,09-May-2022 19:09:35
3,254,55130091,458,09-May-2022 19:09:35
4,255,54070060,164,09-May-2022 19:09:35
5,256,53010010,329,09-May-2022 19:09:35
6,257,30400042,301,09-May-2022 19:09:35
7,258,13170080,611,09-May-2022 19:09:35
8,259,56470108,286,09-May-2022 19:09:35
9,260,45230080,491,09-May-2022 19:09:35
10,261,77030005,633,09-May-2022 19:09:36
11,262,29160011,211,09-May-2022 19:09:36
12,263,64030036,229,09-May-2022 19:09:36
13,264,27070002,523,09-May-2022 19:09:37
14,265,29140007,529,09-May-2022 19:09:37
15,266,45080009,522,09-May-2022 19:09:38
16,267,1210007,297,09-May-2022 19:09:38
17,268,13060024,462,09-May-2022 19:09:38
18,269,37180012,359,09-May-2022 19:09:38
19,270,14190031,486,09-May-2022 19:09:38
20,271,30120010,114,09-May-2022 19:09:39
21,272,2020012,470,09-May-2022 19:09:39
22,273,44100003,515,09-May-2022 19:09:39
23,274,14100081,488,09-May-2022 19:09:39
24,275,52090007,638,09-May-2022 19:09:40
25,276,46020030,551,09-May-2022 19:09:40
26,277,37180001,545,09-May-2022 19:09:40
27,278,33010011,378,09-May-2022 19:09:40
28,279,5070014,596,09-May-2022 19:09:41
29,280,33160007,140,09-May-2022 19:09:41
30,281,33100030,392,09-May-2022 19:09:42
31,282,29030028,416,09-May-2022 19:09:42
32,283,33200019,475,09-May-2022 19:09:43
33,284,26050015,299,09-May-2022 19:09:43
34,285,40060016,317,09-May-2022 19:09:43
35,286,33130006,582,09-May-2022 19:09:44
36,287,43250014,602,09-May-2022 19:09:44
37,288,37490002,357,09-May-2022 19:09:45
38,289,69160162,615,09-May-2022 19:09:45
39,290,46150005,399,09-May-2022 19:09:45
40,291,12470001,387,09-May-2022 19:09:46
41,292,49010066,531,09-May-2022 19:09:46
42,293,4030030,467,09-May-2022 19:09:46
43,294,28170039,428,09-May-2022 19:09:47
44,295,73150010,298,09-May-2022 19:09:47
45,296,64080008,482,09-May-2022 19:09:48
46,297,23170105,391,09-May-2022 19:09:48
47,298,11020112,573,09-May-2022 19:09:49
48,299,37020068,233,09-May-2022 19:09:49
49,300,30190017,592,09-May-2022 19:09:49
0,301,30340017,497,09-May-2022 19:09:49
1,302,43050374,694,09-May-2022 19:09:49
2,303,4120016,519,09-May-2022 19:09:49
3,304,83130043,240,09-May-2022 19:09:50
4,305,20080044,440,09-May-2022 19:09:50
5,306,47170038,476,09-May-2022 19:09:51
6,307,69160170,542,09-May-2022 19:09:51
7,308,46040012,568,09-May-2022 19:09:52
8,309,52060008,429,09-May-2022 19:09:52
9,310,49130016,597,09-May-2022 19:09:52
10,311,55310004,512,09-May-2022 19:09:52
11,312,12160002,326,09-May-2022 19:09:53
12,313,52090050,404,09-May-2022 19:09:53
13,314,30190047,357,09-May-2022 19:09:53
14,315,86040002,545,09-May-2022 19:09:53
15,316,56470100,402,09-May-2022 19:09:54
16,317,31080059,90,09-May-2022 19:09:54
17,318,62120038,544,09-May-2022 19:09:56
18,319,68070028,387,09-May-2022 19:09:56
19,320,37100055,445,09-May-2022 19:09:56
20,321,22050086,456,09-May-2022 19:09:56
21,322,24020430,589,09-May-2022 19:09:56
22,323,49210016,445,09-May-2022 19:09:57
23,324,64120034,245,09-May-2022 19:09:57
24,325,55460049,596,09-May-2022 19:09:57
25,326,46090007,367,09-May-2022 19:09:58
26,327,31140005,546,09-May-2022 19:09:58
27,328,56410035,402,09-May-2022 19:09:58
28,329,35160004,571,09-May-2022 19:09:59
29,330,31310004,605,09-May-2022 19:09:59
30,331,55320032,488,09-May-2022 19:09:59
31,332,33090021,386,09-May-2022 19:10:00
32,333,17180006,637,09-May-2022 19:10:02
33,334,55210006,562,09-May-2022 19:10:03
34,335,1100005,331,09-May-2022 19:10:03
35,336,45200005,306,09-May-2022 19:10:04
36,337,1160008,375,09-May-2022 19:10:05
37,338,1020001,335,09-May-2022 19:10:05
38,339,15140006,501,09-May-2022 19:10:06
39,340,29330021,464,09-May-2022 19:10:06
40,341,31190025,530,09-May-2022 19:10:06
41,342,30080005,537,09-May-2022 19:10:06
42,343,47150001,577,09-May-2022 19:10:06
43,344,22520034,510,09-May-2022 19:10:07
44,345,22500132,631,09-May-2022 19:10:08
45,346,11090002,463,09-May-2022 19:10:08
46,347,55320187,644,09-May-2022 19:10:09
47,348,46180036,490,09-May-2022 19:10:09
48,349,1260010,145,09-May-2022 19:10:09
49,350,80070027,284,09-May-2022 19:10:09
0,351,27060009,286,09-May-2022 19:10:10
1,352,73070004,385,09-May-2022 19:10:10
2,353,59120012,512,09-May-2022 19:10:11
3,354,53010012,589,09-May-2022 19:10:12
4,355,56460057,675,09-May-2022 19:10:13
5,356,15280045,553,09-May-2022 19:10:13
6,357,45180007,665,09-May-2022 19:10:14
7,358,56310013,366,09-May-2022 19:10:14
8,359,29040004,320,09-May-2022 19:10:14
9,360,42140002,411,09-May-2022 19:10:15
10,361,12160021,425,09-May-2022 19:10:15
11,362,22520039,579,09-May-2022 19:10:15
12,363,26180004,178,09-May-2022 19:10:16
13,364,14040046,428,09-May-2022 19:10:18
14,365,33010056,493,09-May-2022 19:10:18
15,366,28210018,357,09-May-2022 19:10:19
16,367,55320087,639,09-May-2022 19:10:19
17,368,46020033,525,09-May-2022 19:10:19
18,369,33090030,447,09-May-2022 19:10:19
19,370,4040003,463,09-May-2022 19:10:20
20,371,36170035,490,09-May-2022 19:10:20
21,372,64030044,323,09-May-2022 19:10:20
22,373,33020014,282,09-May-2022 19:10:21
23,374,22300102,459,09-May-2022 19:10:22
24,375,69040094,635,09-May-2022 19:10:22
25,376,11020143,442,09-May-2022 19:10:23
26,377,69160174,539,09-May-2022 19:10:23
27,378,29140033,358,09-May-2022 19:10:24
28,379,51040006,253,09-May-2022 19:10:25
29,380,55270048,451,09-May-2022 19:10:26
30,381,55110006,498,09-May-2022 19:10:26
31,382,49200014,579,09-May-2022 19:10:26
32,383,69050015,422,09-May-2022 19:10:27
33,384,21100057,445,09-May-2022 19:10:28
34,385,80070094,384,09-May-2022 19:10:28
35,386,81070011,450,09-May-2022 19:10:29
36,387,55470052,627,09-May-2022 19:10:29
37,388,49190041,392,09-May-2022 19:10:30
38,389,22330004,517,09-May-2022 19:10:30
39,390,49010032,523,09-May-2022 19:10:31
40,391,51110002,540,09-May-2022 19:10:31
41,392,52050023,657,09-May-2022 19:10:31
42,393,33060002,345,09-May-2022 19:10:31
43,394,40050022,439,09-May-2022 19:10:32
44,395,31160017,512,09-May-2022 19:10:32
45,396,44090006,312,09-May-2022 19:10:33
46,397,1150007,302,09-May-2022 19:10:33
47,398,3050025,379,09-May-2022 19:10:33
48,399,37230013,284,09-May-2022 19:10:34
49,400,11120015,222,09-May-2022 19:10:35
0,401,83120002,542,09-May-2022 19:10:35
1,402,55170037,613,09-May-2022 19:10:35
2,403,69080038,433,09-May-2022 19:10:36
3,404,33100006,640,09-May-2022 19:10:36
4,405,10330016,250,09-May-2022 19:10:36
5,406,15050052,525,09-May-2022 19:10:36
6,407,30120008,156,09-May-2022 19:10:37
7,408,71030016,525,09-May-2022 19:10:37
8,409,31120045,597,09-May-2022 19:10:38
9,410,33050035,415,09-May-2022 19:10:38
10,411,67170032,463,09-May-2022 19:10:38
11,412,16080016,637,09-May-2022 19:10:39
12,413,40050008,106,09-May-2022 19:10:39
13,414,15220027,385,09-May-2022 19:10:39
14,415,47070093,527,09-May-2022 19:10:40
15,416,41010052,470,09-May-2022 19:10:40
16,417,22070041,601,09-May-2022 19:10:40
17,418,69160237,562,09-May-2022 19:10:41
18,419,29240046,244,09-May-2022 19:10:41
19,420,30290019,291,09-May-2022 19:10:42
20,421,49170031,508,09-May-2022 19:10:43
21,422,54100038,450,09-May-2022 19:10:43
22,423,53170029,529,09-May-2022 19:10:44
23,424,56180058,249,09-May-2022 19:10:44
24,425,37310039,404,09-May-2022 19:10:44
25,426,53120016,560,09-May-2022 19:10:45
26,427,22210032,594,09-May-2022 19:10:47
27,428,15040056,382,09-May-2022 19:10:47
28,429,26070022,168,09-May-2022 19:10:48
29,430,20020015,311,09-May-2022 19:10:48
30,431,19050026,433,09-May-2022 19:10:48
31,432,16020013,515,09-May-2022 19:10:49
32,433,56370005,497,09-May-2022 19:10:49
33,434,29300044,466,09-May-2022 19:10:49
34,435,71080035,494,09-May-2022 19:10:49
35,436,30120071,540,09-May-2022 19:10:49
36,437,50020003,425,09-May-2022 19:10:50
37,438,1170001,524,09-May-2022 19:10:50
38,439,55320002,480,09-May-2022 19:10:51
39,440,45020062,594,09-May-2022 19:10:52
40,441,49080127,613,09-May-2022 19:10:53
41,442,22190105,610,09-May-2022 19:10:54
42,443,29270005,543,09-May-2022 19:10:55
43,444,31020030,186,09-May-2022 19:10:55
44,445,33070055,576,09-May-2022 19:10:55
45,446,4040015,423,09-May-2022 19:10:55
46,447,37410021,450,09-May-2022 19:10:56
47,448,55140013,575,09-May-2022 19:10:56
48,449,15160042,383,09-May-2022 19:10:56
49,450,26130005,182,09-May-2022 19:10:56
0,451,45310035,397,09-May-2022 19:10:58
1,452,50100033,347,09-May-2022 19:10:58
2,453,29170014,180,09-May-2022 19:10:59
3,454,12410007,290,09-May-2022 19:10:59
4,455,49030163,477,09-May-2022 19:10:59
5,456,47170032,585,09-May-2022 19:10:59
6,457,17090014,419,09-May-2022 19:11:00
7,458,33070063,650,09-May-2022 19:11:00
8,459,33070072,676,09-May-2022 19:11:00
9,460,69060051,586,09-May-2022 19:11:01
10,461,22270099,682,09-May-2022 19:11:02
11,462,8050011,343,09-May-2022 19:11:02
12,463,55470025,611,09-May-2022 19:11:02
13,464,45070059,606,09-May-2022 19:11:03
14,465,45300038,668,09-May-2022 19:11:03
