,NO.,CLUSTERED,ACTUAL,RECEPTION DATETIME
47,11248,75020200,575,09-May-2022 19:22:28
48,11249,75040155,629,09-May-2022 19:22:28
49,11250,73150051,317,09-May-2022 19:22:28
0,11251,17280009,486,09-May-2022 19:22:29
1,11252,17280082,532,09-May-2022 19:22:29
2,11253,10310191,638,09-May-2022 19:22:29
3,11254,37310028,534,09-May-2022 19:22:29
4,11255,33070005,634,09-May-2022 19:22:29
5,11256,30220310,474,09-May-2022 19:22:29
6,11257,31120050,610,09-May-2022 19:22:29
7,11258,26130029,323,09-May-2022 19:22:29
8,11259,26190005,45,09-May-2022 19:22:29
9,11260,22370003,681,09-May-2022 19:22:29
10,11261,24020098,412,09-May-2022 19:22:29
11,11262,21030121,576,09-May-2022 19:22:29
12,11263,56300009,430,09-May-2022 19:22:29
13,11264,54060096,539,09-May-2022 19:22:29
14,11265,39050729,382,09-May-2022 19:22:29
15,11266,39050870,309,09-May-2022 19:22:29
16,11267,82050012,616,09-May-2022 19:22:29
17,11268,74030540,681,09-May-2022 19:22:29
18,11269,74040404,554,09-May-2022 19:22:29
19,11270,75010170,628,09-May-2022 19:22:29
20,11271,75010576,489,09-May-2022 19:22:29
21,11272,73280002,617,09-May-2022 19:22:29
22,11273,65100017,578,09-May-2022 19:22:29
23,11274,71080019,558,09-May-2022 19:22:29
24,11275,59150006,498,09-May-2022 19:22:29
25,11276,63030393,661,09-May-2022 19:22:29
26,11277,1180003,460,09-May-2022 19:22:30
27,11278,10050261,645,09-May-2022 19:22:30
28,11279,76070404,515,09-May-2022 19:22:30
29,11280,54050117,651,09-May-2022 19:22:30
30,11281,55110143,399,09-May-2022 19:22:30
31,11282,47110031,639,09-May-2022 19:22:30
32,11283,39101403,608,09-May-2022 19:22:30
33,11284,41180031,372,09-May-2022 19:22:30
34,11285,39010452,351,09-May-2022 19:22:30
35,11286,34240058,671,09-May-2022 19:22:30
36,11287,37240004,424,09-May-2022 19:22:30
37,11288,22230103,618,09-May-2022 19:22:30
38,11289,21170064,668,09-May-2022 19:22:30
39,11290,21220054,573,09-May-2022 19:22:30
40,11291,17230008,514,09-May-2022 19:22:30
41,11292,14040092,611,09-May-2022 19:22:30
42,11293,10140264,518,09-May-2022 19:22:30
43,11294,10310134,643,09-May-2022 19:22:30
44,11295,11020219,385,09-May-2022 19:22:30
45,11296,6130024,594,09-May-2022 19:22:30
46,11297,24020368,504,09-May-2022 19:22:31
47,11298,5060091,554,09-May-2022 19:22:31
48,11299,55150049,728,09-May-2022 19:22:31
49,11300,2050002,571,09-May-2022 19:22:31
0,11301,34280074,561,09-May-2022 19:22:31
1,11302,55250074,649,09-May-2022 19:22:31
2,11303,72120007,425,09-May-2022 19:22:31
3,11304,71080024,465,09-May-2022 19:22:31
4,11305,39010603,577,09-May-2022 19:22:31
5,11306,43150008,522,09-May-2022 19:22:31
6,11307,17240107,707,09-May-2022 19:22:31
7,11308,21170090,455,09-May-2022 19:22:31
8,11309,74041057,551,09-May-2022 19:22:31
9,11310,45260061,637,09-May-2022 19:22:31
10,11311,33130009,629,09-May-2022 19:22:31
11,11312,75020079,518,09-May-2022 19:22:31
12,11313,77070036,477,09-May-2022 19:22:31
13,11314,76040285,426,09-May-2022 19:22:31
14,11315,49290032,604,09-May-2022 19:22:31
15,11316,24020183,398,09-May-2022 19:22:31
16,11317,4130010,447,09-May-2022 19:22:32
17,11318,54160055,511,09-May-2022 19:22:32
18,11319,12380027,471,09-May-2022 19:22:32
19,11320,19140045,552,09-May-2022 19:22:32
20,11321,17300044,447,09-May-2022 19:22:32
21,11322,21090087,440,09-May-2022 19:22:32
22,11323,21060443,511,09-May-2022 19:22:32
23,11324,19170063,164,09-May-2022 19:22:32
24,11325,21210015,492,09-May-2022 19:22:32
25,11326,21180163,467,09-May-2022 19:22:32
26,11327,29060065,406,09-May-2022 19:22:32
27,11328,24020720,574,09-May-2022 19:22:32
28,11329,34040120,647,09-May-2022 19:22:32
29,11330,33160030,507,09-May-2022 19:22:32
30,11331,31360034,334,09-May-2022 19:22:32
31,11332,35230018,364,09-May-2022 19:22:32
32,11333,39141831,590,09-May-2022 19:22:32
33,11334,48130046,368,09-May-2022 19:22:32
34,11335,53070007,503,09-May-2022 19:22:32
35,11336,55230012,458,09-May-2022 19:22:32
36,11337,10030020,335,09-May-2022 19:22:32
37,11338,8050012,634,09-May-2022 19:22:32
38,11339,75040308,559,09-May-2022 19:22:32
39,11340,76020445,587,09-May-2022 19:22:32
40,11341,74041755,572,09-May-2022 19:22:32
41,11342,75010859,628,09-May-2022 19:22:32
42,11343,73320072,580,09-May-2022 19:22:32
43,11344,74030217,672,09-May-2022 19:22:32
44,11345,56480001,384,09-May-2022 19:22:32
45,11346,8080027,575,09-May-2022 19:22:32
46,11347,55440014,623,09-May-2022 19:22:33
47,11348,55120015,618,09-May-2022 19:22:33
48,11349,45310011,569,09-May-2022 19:22:33
49,11350,49010067,587,09-May-2022 19:22:33
0,11351,14010021,679,09-May-2022 19:22:33
1,11352,10170031,611,09-May-2022 19:22:33
2,11353,10060050,399,09-May-2022 19:22:33
3,11354,10060078,599,09-May-2022 19:22:33
4,11355,1190018,334,09-May-2022 19:22:33
5,11356,8030042,612,09-May-2022 19:22:33
6,11357,39121746,462,09-May-2022 19:22:33
7,11358,42090031,497,09-May-2022 19:22:33
8,11359,42150016,570,09-May-2022 19:22:33
9,11360,39050865,311,09-May-2022 19:22:33
10,11361,33070043,430,09-May-2022 19:22:33
11,11362,34040300,583,09-May-2022 19:22:33
12,11363,22190066,613,09-May-2022 19:22:33
13,11364,22430035,524,09-May-2022 19:22:33
14,11365,17250002,484,09-May-2022 19:22:33
15,11366,17370026,280,09-May-2022 19:22:33
16,11367,77080007,419,09-May-2022 19:22:33
17,11368,74040768,583,09-May-2022 19:22:33
18,11369,59100043,644,09-May-2022 19:22:33
19,11370,31350131,659,09-May-2022 19:22:34
20,11371,21200099,598,09-May-2022 19:22:34
21,11372,21180129,607,09-May-2022 19:22:34
22,11373,37480021,236,09-May-2022 19:22:34
23,11374,21180098,633,09-May-2022 19:22:34
24,11375,55320034,507,09-May-2022 19:22:34
25,11376,37330023,350,09-May-2022 19:22:34
26,11377,21120025,589,09-May-2022 19:22:34
27,11378,22430021,529,09-May-2022 19:22:34
28,11379,5130003,557,09-May-2022 19:22:34
29,11380,46040008,527,09-May-2022 19:22:34
30,11381,5140030,635,09-May-2022 19:22:34
31,11382,5060033,379,09-May-2022 19:22:34
32,11383,2100016,396,09-May-2022 19:22:34
33,11384,3080057,516,09-May-2022 19:22:34
34,11385,63030037,606,09-May-2022 19:22:34
35,11386,8100050,587,09-May-2022 19:22:34
36,11387,11060061,455,09-May-2022 19:22:34
37,11388,19070041,372,09-May-2022 19:22:34
38,11389,11020092,253,09-May-2022 19:22:34
39,11390,30220157,560,09-May-2022 19:22:34
40,11391,10210058,716,09-May-2022 19:22:34
41,11392,15050008,175,09-May-2022 19:22:34
42,11393,14200331,620,09-May-2022 19:22:34
43,11394,47020012,578,09-May-2022 19:22:34
44,11395,21230091,596,09-May-2022 19:22:34
45,11396,16090007,367,09-May-2022 19:22:34
46,11397,21060039,658,09-May-2022 19:22:34
47,11398,21040018,677,09-May-2022 19:22:34
48,11399,34050259,493,09-May-2022 19:22:35
49,11400,31260049,389,09-May-2022 19:22:35
0,11401,31260032,603,09-May-2022 19:22:35
1,11402,37080029,316,09-May-2022 19:22:35
2,11403,34120008,428,09-May-2022 19:22:35
3,11404,43050419,640,09-May-2022 19:22:35
4,11405,42150076,470,09-May-2022 19:22:35
5,11406,5160038,528,09-May-2022 19:22:35
6,11407,10140145,653,09-May-2022 19:22:35
7,11408,14020007,615,09-May-2022 19:22:35
8,11409,14120008,599,09-May-2022 19:22:35
9,11410,10310031,650,09-May-2022 19:22:35
10,11411,19150013,627,09-May-2022 19:22:35
11,11412,30220289,576,09-May-2022 19:22:35
12,11413,46100005,435,09-May-2022 19:22:35
13,11414,45280066,464,09-May-2022 19:22:35
14,11415,49300059,459,09-May-2022 19:22:35
15,11416,58020266,493,09-May-2022 19:22:35
16,11417,55320024,596,09-May-2022 19:22:35
17,11418,63030104,519,09-May-2022 19:22:35
18,11419,60050024,334,09-May-2022 19:22:35
19,11420,74030484,645,09-May-2022 19:22:35
20,11421,75010324,581,09-May-2022 19:22:35
21,11422,74041038,573,09-May-2022 19:22:35
22,11423,74040297,410,09-May-2022 19:22:35
23,11424,76030037,651,09-May-2022 19:22:35
24,11425,75020311,553,09-May-2022 19:22:35
25,11426,75020258,532,09-May-2022 19:22:35
26,11427,76050153,655,09-May-2022 19:22:35
27,11428,21160017,643,09-May-2022 19:22:35
28,11429,22300108,672,09-May-2022 19:22:35
29,11430,29300002,418,09-May-2022 19:22:35
30,11431,31140154,481,09-May-2022 19:22:35
31,11432,11060032,635,09-May-2022 19:22:35
32,11433,55340006,518,09-May-2022 19:22:36
33,11434,76020453,344,09-May-2022 19:22:36
34,11435,19120004,614,09-May-2022 19:22:36
35,11436,47160001,639,09-May-2022 19:22:36
36,11437,49080053,549,09-May-2022 19:22:36
37,11438,45070001,517,09-May-2022 19:22:36
38,11439,45100018,627,09-May-2022 19:22:36
39,11440,39050837,416,09-May-2022 19:22:36
40,11441,39111546,497,09-May-2022 19:22:36
41,11442,35070016,350,09-May-2022 19:22:36
42,11443,31270018,298,09-May-2022 19:22:36
43,11444,34050143,580,09-May-2022 19:22:36
44,11445,30120056,663,09-May-2022 19:22:36
45,11446,31120026,537,09-May-2022 19:22:36
46,11447,31080069,376,09-May-2022 19:22:36
47,11448,24020843,564,09-May-2022 19:22:36
48,11449,28120004,585,09-May-2022 19:22:36
49,11450,21190019,364,09-May-2022 19:22:36
0,11451,78080031,564,09-May-2022 19:22:36
1,11452,55170088,537,09-May-2022 19:22:36
2,11453,49300140,592,09-May-2022 19:22:36
3,11454,45170039,598,09-May-2022 19:22:36
4,11455,45310067,558,09-May-2022 19:22:36
5,11456,71070122,622,09-May-2022 19:22:36
6,11457,71060004,455,09-May-2022 19:22:36
7,11458,65100007,441,09-May-2022 19:22:36
8,11459,21060114,613,09-May-2022 19:22:36
9,11460,30220198,555,09-May-2022 19:22:37
10,11461,30390002,417,09-May-2022 19:22:37
11,11462,28120088,485,09-May-2022 19:22:37
12,11463,22380007,567,09-May-2022 19:22:37
13,11464,21200197,589,09-May-2022 19:22:37
14,11465,77050017,506,09-May-2022 19:22:37
15,11466,78030004,548,09-May-2022 19:22:37
16,11467,76010253,576,09-May-2022 19:22:37
17,11468,76010372,579,09-May-2022 19:22:37
18,11469,76030362,607,09-May-2022 19:22:37
19,11470,74030603,655,09-May-2022 19:22:37
20,11471,59130004,332,09-May-2022 19:22:37
21,11472,64170006,512,09-May-2022 19:22:37
22,11473,58050211,572,09-May-2022 19:22:37
23,11474,55120049,533,09-May-2022 19:22:37
24,11475,55260037,564,09-May-2022 19:22:37
25,11476,55260086,628,09-May-2022 19:22:37
26,11477,49260025,475,09-May-2022 19:22:37
27,11478,18020002,444,09-May-2022 19:22:37
28,11479,21090221,543,09-May-2022 19:22:37
29,11480,45270046,503,09-May-2022 19:22:37
30,11481,20030021,489,09-May-2022 19:22:37
31,11482,11020165,356,09-May-2022 19:22:37
32,11483,11020183,654,09-May-2022 19:22:37
33,11484,10030003,374,09-May-2022 19:22:37
34,11485,10070046,607,09-May-2022 19:22:37
35,11486,39091265,446,09-May-2022 19:22:37
36,11487,39071671,408,09-May-2022 19:22:37
37,11488,31350035,653,09-May-2022 19:22:37
38,11489,1130007,361,09-May-2022 19:22:38
39,11490,52030011,408,09-May-2022 19:22:38
40,11491,49280003,315,09-May-2022 19:22:38
41,11492,49260088,670,09-May-2022 19:22:38
42,11493,55300040,576,09-May-2022 19:22:38
43,11494,55020036,574,09-May-2022 19:22:38
44,11495,53160069,459,09-May-2022 19:22:38
45,11496,64170065,434,09-May-2022 19:22:38
46,11497,63030094,631,09-May-2022 19:22:38
47,11498,69030055,303,09-May-2022 19:22:38
48,11499,74010079,622,09-May-2022 19:22:38
49,11500,75010844,575,09-May-2022 19:22:38
0,11501,79010026,498,09-May-2022 19:22:38
1,11502,76070471,645,09-May-2022 19:22:38
2,11503,77020024,523,09-May-2022 19:22:38
3,11504,80070022,346,09-May-2022 19:22:38
4,11505,21090165,457,09-May-2022 19:22:38
5,11506,22310016,530,09-May-2022 19:22:38
6,11507,21030056,475,09-May-2022 19:22:38
7,11508,45310091,649,09-May-2022 19:22:38
8,11509,14010012,645,09-May-2022 19:22:38
9,11510,14200323,557,09-May-2022 19:22:38
10,11511,10310129,503,09-May-2022 19:22:38
11,11512,10050120,542,09-May-2022 19:22:38
12,11513,10050238,607,09-May-2022 19:22:38
13,11514,10050153,657,09-May-2022 19:22:38
14,11515,12430046,702,09-May-2022 19:22:38
15,11516,43050221,587,09-May-2022 19:22:38
16,11517,39010282,583,09-May-2022 19:22:38
17,11518,39010286,521,09-May-2022 19:22:38
18,11519,39061642,453,09-May-2022 19:22:38
19,11520,33060018,462,09-May-2022 19:22:38
20,11521,34050035,417,09-May-2022 19:22:38
21,11522,31050011,615,09-May-2022 19:22:38
22,11523,31080126,657,09-May-2022 19:22:38
23,11524,19140096,403,09-May-2022 19:22:39
24,11525,21050007,380,09-May-2022 19:22:39
25,11526,74020094,547,09-May-2022 19:22:39
26,11527,74020189,603,09-May-2022 19:22:39
27,11528,82010024,528,09-May-2022 19:22:39
28,11529,22330003,553,09-May-2022 19:22:39
29,11530,22260284,622,09-May-2022 19:22:39
30,11531,22190096,621,09-May-2022 19:22:39
31,11532,24030061,492,09-May-2022 19:22:39
32,11533,24020445,614,09-May-2022 19:22:39
33,11534,24020160,476,09-May-2022 19:22:39
34,11535,31120098,363,09-May-2022 19:22:39
35,11536,39010589,628,09-May-2022 19:22:39
36,11537,8050023,543,09-May-2022 19:22:39
37,11538,8040038,549,09-May-2022 19:22:39
38,11539,14040008,683,09-May-2022 19:22:39
39,11540,53040047,392,09-May-2022 19:22:39
40,11541,52020004,629,09-May-2022 19:22:39
41,11542,21090064,445,09-May-2022 19:22:40
42,11543,40030010,501,09-May-2022 19:22:40
43,11544,12390006,432,09-May-2022 19:22:40
44,11545,10220082,640,09-May-2022 19:22:40
45,11546,4080019,350,09-May-2022 19:22:40
46,11547,5070054,603,09-May-2022 19:22:40
47,11548,45040086,595,09-May-2022 19:22:40
48,11549,45100099,522,09-May-2022 19:22:40
49,11550,38050036,395,09-May-2022 19:22:40
0,11551,39030917,533,09-May-2022 19:22:40
1,11552,37450006,569,09-May-2022 19:22:40
2,11553,33060017,538,09-May-2022 19:22:40
3,11554,45020017,562,09-May-2022 19:22:40
4,11555,77020021,364,09-May-2022 19:22:40
5,11556,76030101,655,09-May-2022 19:22:40
6,11557,74010252,639,09-May-2022 19:22:40
7,11558,71030035,497,09-May-2022 19:22:40
8,11559,17040016,435,09-May-2022 19:22:40
9,11560,23230003,645,09-May-2022 19:22:40
10,11561,23150176,555,09-May-2022 19:22:40
11,11562,21120005,429,09-May-2022 19:22:40
12,11563,55320131,552,09-May-2022 19:22:40
13,11564,56190015,470,09-May-2022 19:22:40
14,11565,57030012,421,09-May-2022 19:22:40
15,11566,56450128,533,09-May-2022 19:22:40
16,11567,49160046,575,09-May-2022 19:22:40
17,11568,49270001,453,09-May-2022 19:22:40
18,11569,45150131,524,09-May-2022 19:22:40
19,11570,71080016,512,09-May-2022 19:22:40
20,11571,72200026,183,09-May-2022 19:22:41
21,11572,73430021,371,09-May-2022 19:22:41
22,11573,17370028,562,09-May-2022 19:22:41
23,11574,53240009,499,09-May-2022 19:22:41
24,11575,16100044,331,09-May-2022 19:22:41
25,11576,71070090,576,09-May-2022 19:22:41
26,11577,14120003,656,09-May-2022 19:22:41
27,11578,15040053,221,09-May-2022 19:22:41
28,11579,10160011,643,09-May-2022 19:22:41
29,11580,10280047,519,09-May-2022 19:22:41
30,11581,10340046,471,09-May-2022 19:22:41
31,11582,39010428,610,09-May-2022 19:22:41
32,11583,27010020,474,09-May-2022 19:22:41
33,11584,28190022,363,09-May-2022 19:22:41
34,11585,22130037,509,09-May-2022 19:22:41
35,11586,23050011,584,09-May-2022 19:22:41
36,11587,23220001,627,09-May-2022 19:22:41
37,11588,63030428,610,09-May-2022 19:22:41
38,11589,55320103,478,09-May-2022 19:22:41
39,11590,53150009,683,09-May-2022 19:22:41
40,11591,49270039,569,09-May-2022 19:22:41
41,11592,51100006,427,09-May-2022 19:22:41
42,11593,47180044,343,09-May-2022 19:22:41
43,11594,39101382,520,09-May-2022 19:22:41
44,11595,75020309,508,09-May-2022 19:22:41
45,11596,75020324,454,09-May-2022 19:22:41
46,11597,75040044,699,09-May-2022 19:22:41
47,11598,75040291,542,09-May-2022 19:22:41
48,11599,75010159,659,09-May-2022 19:22:41
49,11600,73030005,511,09-May-2022 19:22:41
0,11601,22030019,611,09-May-2022 19:22:42
1,11602,15280052,589,09-May-2022 19:22:42
2,11603,12460061,354,09-May-2022 19:22:42
3,11604,11020022,662,09-May-2022 19:22:42
4,11605,10050088,595,09-May-2022 19:22:42
5,11606,5060093,542,09-May-2022 19:22:42
6,11607,34050299,513,09-May-2022 19:22:42
7,11608,21220150,582,09-May-2022 19:22:42
8,11609,63160002,600,09-May-2022 19:22:42
9,11610,56290012,512,09-May-2022 19:22:42
10,11611,58040011,634,09-May-2022 19:22:42
11,11612,55220003,456,09-May-2022 19:22:42
12,11613,50030005,290,09-May-2022 19:22:42
13,11614,53090004,533,09-May-2022 19:22:42
14,11615,49120082,589,09-May-2022 19:22:42
15,11616,76050070,562,09-May-2022 19:22:42
16,11617,79020008,509,09-May-2022 19:22:42
17,11618,82110004,581,09-May-2022 19:22:42
18,11619,75020308,569,09-May-2022 19:22:42
19,11620,74040042,474,09-May-2022 19:22:42
20,11621,74041003,496,09-May-2022 19:22:42
21,11622,72260004,441,09-May-2022 19:22:42
22,11623,74020038,642,09-May-2022 19:22:42
23,11624,74030227,674,09-May-2022 19:22:42
24,11625,67170005,401,09-May-2022 19:22:42
25,11626,69120023,363,09-May-2022 19:22:42
26,11627,74041220,672,09-May-2022 19:22:43
27,11628,74040277,452,09-May-2022 19:22:43
28,11629,65060029,443,09-May-2022 19:22:43
29,11630,21030091,615,09-May-2022 19:22:43
30,11631,21230028,611,09-May-2022 19:22:43
31,11632,69030091,431,09-May-2022 19:22:43
32,11633,17150031,429,09-May-2022 19:22:43
33,11634,14170047,630,09-May-2022 19:22:43
34,11635,10300040,480,09-May-2022 19:22:43
35,11636,10050288,490,09-May-2022 19:22:43
36,11637,10140176,476,09-May-2022 19:22:43
37,11638,33130044,499,09-May-2022 19:22:43
38,11639,28210023,603,09-May-2022 19:22:43
39,11640,30010033,483,09-May-2022 19:22:43
40,11641,22300054,525,09-May-2022 19:22:43
41,11642,22270091,705,09-May-2022 19:22:43
42,11643,63160004,601,09-May-2022 19:22:43
43,11644,55350048,590,09-May-2022 19:22:43
44,11645,56190024,598,09-May-2022 19:22:43
45,11646,56220058,662,09-May-2022 19:22:43
46,11647,52050012,561,09-May-2022 19:22:43
47,11648,46210033,483,09-May-2022 19:22:43
48,11649,49180020,364,09-May-2022 19:22:43
49,11650,76040060,623,09-May-2022 19:22:43
0,11651,74020253,615,09-May-2022 19:22:43
1,11652,75010322,541,09-May-2022 19:22:44
2,11653,56080022,634,09-May-2022 19:22:44
3,11654,68040009,408,09-May-2022 19:22:44
4,11655,68060015,383,09-May-2022 19:22:44
5,11656,71050002,510,09-May-2022 19:22:44
6,11657,13170006,669,09-May-2022 19:22:44
7,11658,15130020,629,09-May-2022 19:22:44
8,11659,72020079,544,09-May-2022 19:22:44
9,11660,10220027,533,09-May-2022 19:22:44
10,11661,10140037,544,09-May-2022 19:22:44
11,11662,39050884,539,09-May-2022 19:22:44
12,11663,33020018,458,09-May-2022 19:22:44
13,11664,33070006,641,09-May-2022 19:22:44
14,11665,34030187,556,09-May-2022 19:22:44
15,11666,34050385,515,09-May-2022 19:22:44
16,11667,30010032,331,09-May-2022 19:22:44
17,11668,30260003,534,09-May-2022 19:22:44
18,11669,53240015,475,09-May-2022 19:22:44
19,11670,52110026,597,09-May-2022 19:22:44
20,11671,45310023,568,09-May-2022 19:22:44
21,11672,49020058,495,09-May-2022 19:22:44
22,11673,42030002,502,09-May-2022 19:22:44
23,11674,75030056,672,09-May-2022 19:22:44
24,11675,25050005,571,09-May-2022 19:22:44
25,11676,63120075,556,09-May-2022 19:22:44
26,11677,74020225,583,09-May-2022 19:22:44
27,11678,22260258,461,09-May-2022 19:22:45
28,11679,30290017,420,09-May-2022 19:22:45
29,11680,58040108,486,09-May-2022 19:22:45
30,11681,55300054,691,09-May-2022 19:22:45
31,11682,45160016,575,09-May-2022 19:22:45
32,11683,41190008,465,09-May-2022 19:22:45
33,11684,76040194,568,09-May-2022 19:22:45
34,11685,76050077,462,09-May-2022 19:22:45
35,11686,76050033,310,09-May-2022 19:22:45
36,11687,76060061,579,09-May-2022 19:22:45
37,11688,82060021,487,09-May-2022 19:22:45
38,11689,76030204,601,09-May-2022 19:22:45
39,11690,74040107,510,09-May-2022 19:22:45
40,11691,73320371,619,09-May-2022 19:22:45
41,11692,73320509,539,09-May-2022 19:22:45
42,11693,14200161,499,09-May-2022 19:22:45
43,11694,12350010,413,09-May-2022 19:22:45
44,11695,74010146,494,09-May-2022 19:22:45
45,11696,8100029,656,09-May-2022 19:22:45
46,11697,39050825,318,09-May-2022 19:22:45
47,11698,35040160,607,09-May-2022 19:22:45
48,11699,37190057,466,09-May-2022 19:22:45
49,11700,37180038,411,09-May-2022 19:22:45
0,11701,37190053,397,09-May-2022 19:22:45
1,11702,33140088,687,09-May-2022 19:22:45
2,11703,29330035,693,09-May-2022 19:22:45
3,11704,30220061,306,09-May-2022 19:22:45
4,11705,22320080,694,09-May-2022 19:22:45
5,11706,21090092,470,09-May-2022 19:22:46
6,11707,71070148,618,09-May-2022 19:22:46
7,11708,2040022,476,09-May-2022 19:22:46
8,11709,5030122,679,09-May-2022 19:22:46
9,11710,4120048,498,09-May-2022 19:22:46
10,11711,45020074,642,09-May-2022 19:22:46
11,11712,39050882,430,09-May-2022 19:22:46
12,11713,37220027,501,09-May-2022 19:22:46
13,11714,31300014,578,09-May-2022 19:22:46
14,11715,31140108,337,09-May-2022 19:22:46
15,11716,26090006,325,09-May-2022 19:22:46
16,11717,22300311,676,09-May-2022 19:22:46
17,11718,62020027,358,09-May-2022 19:22:46
18,11719,58050148,570,09-May-2022 19:22:46
19,11720,49130009,611,09-May-2022 19:22:46
20,11721,51100064,613,09-May-2022 19:22:46
21,11722,51100105,628,09-May-2022 19:22:46
22,11723,45270015,468,09-May-2022 19:22:46
23,11724,46150047,503,09-May-2022 19:22:46
24,11725,76030395,565,09-May-2022 19:22:46
25,11726,76040122,608,09-May-2022 19:22:46
26,11727,74030068,634,09-May-2022 19:22:46
27,11728,74030506,657,09-May-2022 19:22:46
28,11729,10030016,503,09-May-2022 19:22:46
29,11730,21110039,412,09-May-2022 19:22:47
30,11731,72040002,489,09-May-2022 19:22:47
31,11732,58140069,583,09-May-2022 19:22:47
32,11733,17170040,568,09-May-2022 19:22:47
33,11734,10190002,444,09-May-2022 19:22:47
34,11735,11020011,597,09-May-2022 19:22:47
35,11736,10050175,639,09-May-2022 19:22:47
36,11737,10060004,488,09-May-2022 19:22:47
37,11738,5160009,466,09-May-2022 19:22:47
38,11739,33090032,472,09-May-2022 19:22:47
39,11740,63030298,548,09-May-2022 19:22:47
40,11741,64070002,560,09-May-2022 19:22:47
41,11742,56420003,562,09-May-2022 19:22:47
42,11743,43050024,491,09-May-2022 19:22:47
43,11744,76010273,600,09-May-2022 19:22:47
44,11745,75010483,682,09-May-2022 19:22:47
45,11746,73070033,539,09-May-2022 19:22:47
46,11747,67140027,455,09-May-2022 19:22:47
47,11748,21030210,631,09-May-2022 19:22:47
48,11749,75010707,378,09-May-2022 19:22:48
49,11750,17310029,418,09-May-2022 19:22:48
0,11751,21060424,654,09-May-2022 19:22:48
1,11752,14120157,613,09-May-2022 19:22:48
2,11753,39020712,518,09-May-2022 19:22:48
3,11754,31370046,549,09-May-2022 19:22:48
4,11755,34010015,636,09-May-2022 19:22:48
5,11756,34110001,529,09-May-2022 19:22:48
6,11757,30220243,599,09-May-2022 19:22:48
7,11758,30340003,535,09-May-2022 19:22:48
8,11759,28200007,539,09-May-2022 19:22:48
9,11760,21100012,625,09-May-2022 19:22:48
10,11761,21140004,479,09-May-2022 19:22:48
11,11762,58040145,608,09-May-2022 19:22:48
12,11763,55170085,633,09-May-2022 19:22:48
13,11764,45070034,437,09-May-2022 19:22:48
14,11765,45080012,669,09-May-2022 19:22:48
15,11766,39101387,466,09-May-2022 19:22:48
16,11767,39141508,459,09-May-2022 19:22:48
17,11768,14130022,618,09-May-2022 19:22:48
18,11769,21220153,571,09-May-2022 19:22:48
19,11770,73170021,399,09-May-2022 19:22:48
20,11771,17240003,408,09-May-2022 19:22:48
21,11772,75010737,513,09-May-2022 19:22:48
22,11773,21030154,658,09-May-2022 19:22:49
23,11774,21030391,618,09-May-2022 19:22:49
24,11775,21060179,647,09-May-2022 19:22:49
25,11776,15150024,175,09-May-2022 19:22:49
26,11777,17170004,532,09-May-2022 19:22:49
27,11778,13010031,582,09-May-2022 19:22:49
28,11779,10140197,651,09-May-2022 19:22:49
29,11780,4050003,488,09-May-2022 19:22:49
30,11781,5040069,478,09-May-2022 19:22:49
31,11782,34190017,530,09-May-2022 19:22:49
32,11783,35130010,476,09-May-2022 19:22:49
33,11784,30370009,496,09-May-2022 19:22:49
34,11785,22270058,387,09-May-2022 19:22:49
35,11786,21170076,504,09-May-2022 19:22:49
36,11787,21180106,457,09-May-2022 19:22:49
37,11788,58130202,532,09-May-2022 19:22:49
38,11789,63190001,575,09-May-2022 19:22:49
39,11790,52090023,582,09-May-2022 19:22:49
40,11791,47040073,574,09-May-2022 19:22:49
41,11792,42150066,496,09-May-2022 19:22:49
42,11793,74040009,614,09-May-2022 19:22:49
43,11794,75010497,626,09-May-2022 19:22:49
44,11795,17120025,480,09-May-2022 19:22:50
45,11796,14200053,567,09-May-2022 19:22:50
46,11797,11050056,274,09-May-2022 19:22:50
47,11798,8040006,240,09-May-2022 19:22:50
48,11799,35040097,574,09-May-2022 19:22:50
49,11800,33110021,515,09-May-2022 19:22:50
0,11801,21110062,576,09-May-2022 19:22:50
1,11802,21200020,485,09-May-2022 19:22:50
2,11803,55400003,601,09-May-2022 19:22:50
3,11804,55150048,552,09-May-2022 19:22:50
4,11805,46100073,502,09-May-2022 19:22:50
5,11806,42150009,365,09-May-2022 19:22:50
6,11807,34110081,674,09-May-2022 19:22:50
7,11808,81020021,524,09-May-2022 19:22:50
8,11809,75010702,596,09-May-2022 19:22:50
9,11810,72270001,577,09-May-2022 19:22:50
10,11811,58130058,653,09-May-2022 19:22:50
11,11812,55360003,553,09-May-2022 19:22:50
12,11813,55280008,427,09-May-2022 19:22:51
13,11814,53150023,570,09-May-2022 19:22:51
14,11815,45010056,394,09-May-2022 19:22:51
15,11816,39010583,530,09-May-2022 19:22:51
16,11817,39010641,564,09-May-2022 19:22:51
17,11818,80010040,567,09-May-2022 19:22:51
18,11819,75010762,560,09-May-2022 19:22:51
19,11820,75020314,508,09-May-2022 19:22:51
20,11821,75040271,590,09-May-2022 19:22:51
21,11822,75010820,334,09-May-2022 19:22:51
22,11823,69160291,535,09-May-2022 19:22:51
23,11824,71070095,604,09-May-2022 19:22:51
24,11825,14050013,692,09-May-2022 19:22:51
25,11826,12100014,550,09-May-2022 19:22:51
26,11827,71060052,549,09-May-2022 19:22:51
27,11828,14230165,519,09-May-2022 19:22:51
28,11829,10310139,654,09-May-2022 19:22:51
